,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
0,2020-02-15,6.0,2.0,15.0,3.0,2.0,-1.0
1,2020-02-16,7.0,1.0,16.0,2.0,0.0,-1.0
2,2020-02-17,6.0,0.0,28.0,-9.0,-24.0,5.0
3,2020-02-18,0.0,-1.0,6.0,1.0,0.0,1.0
4,2020-02-19,2.0,0.0,8.0,1.0,1.0,0.0
5,2020-02-20,1.0,0.0,4.0,0.0,0.0,1.0
6,2020-02-21,2.0,-2.0,4.0,1.0,0.0,0.0
7,2020-02-22,7.0,3.0,23.0,5.0,4.0,-1.0
8,2020-02-23,7.0,3.0,23.0,5.0,2.0,-1.0
9,2020-02-24,2.0,1.0,9.0,1.0,3.0,0.0
10,2020-02-25,4.0,1.0,9.0,2.0,2.0,0.0
11,2020-02-26,7.0,2.0,5.0,3.0,2.0,-1.0
12,2020-02-27,8.0,3.0,12.0,4.0,2.0,0.0
13,2020-02-28,8.0,3.0,10.0,5.0,2.0,-1.0
14,2020-02-29,12.0,7.0,21.0,7.0,4.0,-2.0
15,2020-03-01,13.0,9.0,18.0,7.0,3.0,-1.0
16,2020-03-02,7.0,6.0,10.0,2.0,3.0,-1.0
17,2020-03-03,11.0,10.0,20.0,3.0,2.0,-1.0
18,2020-03-04,8.0,6.0,17.0,2.0,3.0,-1.0
19,2020-03-05,8.0,7.0,21.0,2.0,3.0,-1.0
20,2020-03-06,5.0,3.0,12.0,2.0,2.0,-1.0
21,2020-03-07,10.0,8.0,29.0,7.0,5.0,-1.0
22,2020-03-08,10.0,7.0,40.0,5.0,2.0,-1.0
23,2020-03-09,6.0,6.0,31.0,-1.0,0.0,0.0
24,2020-03-10,6.0,7.0,18.0,-3.0,-2.0,1.0
25,2020-03-11,8.0,10.0,26.0,-2.0,-1.0,0.0
26,2020-03-12,6.0,23.0,19.0,-6.0,-3.0,1.0
27,2020-03-13,2.0,26.0,4.0,-10.0,-7.0,3.0
28,2020-03-14,-6.0,18.0,3.0,-10.0,-1.0,3.0
29,2020-03-15,-9.0,12.0,5.0,-13.0,-7.0,3.0
30,2020-03-16,-8.0,21.0,-1.0,-22.0,-20.0,8.0
31,2020-03-17,-18.0,14.0,8.0,-26.0,-27.0,11.0
32,2020-03-18,-24.0,8.0,6.0,-30.0,-31.0,13.0
33,2020-03-19,-28.0,7.0,2.0,-36.0,-33.0,15.0
34,2020-03-20,-32.0,5.0,-2.0,-37.0,-36.0,16.0
